2024-11-18 22:05:58,900 - src.logger - INFO - UAV start-> (0,397) and end-> (1920,792) points localization
2024-11-30 15:27:21,902 - src.logger - INFO - UAV start-> (0,647) and end-> (1920,966) points localization
2024-11-30 16:46:37,062 - src.logger - INFO - UAV start-> (0,82) and end-> (1920,698) points localization
2024-11-30 16:52:10,304 - src.logger - INFO - UAV start-> (0,340) and end-> (1920,560) points localization
2024-11-30 16:54:27,042 - src.logger - INFO - UAV start-> (0,768) and end-> (1920,1037) points localization
2024-11-30 16:56:08,614 - src.logger - INFO - UAV start-> (0,232) and end-> (1920,821) points localization
2024-11-30 16:56:14,598 - src.logger - INFO - UAV start-> (0,465) and end-> (1920,1040) points localization
2024-11-30 17:06:06,626 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:06:38,909 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:07:07,808 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:07:34,609 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:10:57,752 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:12:22,760 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:12:44,252 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:12:49,750 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:14:08,831 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:16:08,367 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:21:36,830 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:21:43,378 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:22:56,038 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:23:49,604 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:51:22,007 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:51:27,702 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:52:09,086 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:52:14,583 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:53:36,577 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:54:41,290 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:54:52,456 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:55:11,214 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:55:17,815 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:55:54,568 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:56:23,854 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:56:42,640 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:57:00,506 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:59:24,870 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
2024-11-30 17:59:34,928 - src.logger - INFO - UAV start-> (0,886) and end-> (1920,147) points localization
