iter,particles_num,patch_size,base_noise,L,avg_error,avg_time,correct_convergence,false_convergence
1,90,39,3.8738,1961.5937,1264.5937,0.0213,0.0,0.6757
2,57,87,1.8812,484.87669999999997,91.8767,0.0989,0.0,0.2941
3,150,55,3.0163,32.54860000000002,182.5486,0.1132,0.2632,0.0
4,122,83,1.1503,139.1626,178.5626,0.2252,0.2646,0.0
5,289,61,4.7424,255.03830000000005,120.9383,0.3341,0.2,0.0
6,81,47,4.9737,1218.1602,823.4602,0.0376,0.0,0.3571
7,256,49,0.789,31.99070000000006,165.3907,0.1831,0.3165,0.0
8,234,101,1.4925,639.208,81.708,0.7559,0.1984,0.0
9,143,71,2.3416,75.2542,115.9542,0.2022,0.2429,0.0
10,371,95,3.6711,940.4301000000002,98.9301,1.0481,0.2066,0.0
11,214,65,4.0647,75.745,72.945,0.2745,0.2717,0.0
13,175,37,2.5499,1248.4763,839.8763,0.0565,0.0,0.3521
15,188,111,2.153,587.0385000000001,57.2385,0.68,0.1502,0.0
17,354,79,1.5455,579.4097,91.2097,0.6942,0.206,0.0
18,311,97,0.683,744.5097000000001,112.9097,0.9019,0.2703,0.0
19,116,81,1.5731,73.87779999999998,134.8778,0.2231,0.2841,0.0
20,57,89,4.5165,1025.9757,696.3757,0.1255,0.0,0.2041
21,184,55,2.8346,170.7117,258.5117,0.1796,0.2674,0.0
22,76,55,1.1503,621.5157,184.4157,0.056,0.0,0.3811
23,289,51,1.3596,969.183,549.383,0.2474,0.0,0.1724
24,381,47,2.5858,848.6234,421.4234,0.2724,0.0,0.1548
25,282,101,3.8738,833.4794,104.1794,0.9159,0.1866,0.0
26,267,99,2.1896,748.3973000000001,201.7973,0.7728,0.2262,0.0
27,240,79,2.3416,411.03409999999997,121.3341,0.4742,0.1845,0.0
28,188,95,4.7888,338.1261,86.2261,0.5311,0.2792,0.0
29,179,89,1.7944,341.5878000000001,154.2878,0.459,0.2717,0.0
30,282,109,2.2456,966.4042,60.3042,1.0628,0.1567,0.0
31,273,77,0.6681,295.1442,88.0442,0.4849,0.2778,0.0
32,75,69,4.38,518.8419,152.4419,0.0961,0.0,0.2703
33,269,71,0.6946,294.96299999999997,168.263,0.4157,0.289,0.0
34,291,67,2.6994,311.77430000000004,101.5743,0.4212,0.211,0.0
35,381,61,1.5455,287.2072,102.9072,0.4517,0.2674,0.0
36,178,85,1.3356,42.98989999999998,58.6899,0.4167,0.4324,0.0
37,362,47,3.0583,1448.4503,935.8503,0.2666,0.0,0.246
38,57,67,1.9402,510.21940000000006,133.3194,0.0543,0.0,0.3226
39,133,55,4.0533,521.091,146.691,0.0993,0.0,0.2751
40,335,53,4.5135,368.2242000000001,283.2242,0.3033,0.2183,0.0
41,179,61,1.3284,42.906799999999976,114.5068,0.2125,0.2841,0.0
42,381,115,1.5062,1693.3272,104.9272,1.7608,0.1724,0.0
43,86,59,3.8738,522.1742999999999,153.4743,0.0638,0.0,0.3049
44,180,39,1.3223,1609.0433,1183.5433,0.0632,0.0,0.3623
45,231,71,3.9992,348.67100000000005,157.371,0.3779,0.1866,0.0
46,398,35,4.7888,147.36670000000004,282.0667,0.1313,0.266,0.0
47,71,89,2.6429,81.17309999999998,206.7731,0.1269,0.2525,0.0
48,209,45,3.6249,1287.6194,971.8194,0.1048,0.0,0.211
49,273,105,0.6681,797.9072000000001,76.7072,0.882,0.1608,0.0
50,151,83,4.38,440.2001,247.7001,0.3454,0.1529,0.0
51,332,115,0.6935,1435.7993000000001,100.2993,1.5011,0.1656,0.0
52,291,69,1.215,256.59619999999995,113.9962,0.4356,0.293,0.0
53,238,93,1.381,528.7547999999999,83.0548,0.6323,0.1866,0.0
54,334,87,1.7442,621.0215000000001,62.3215,0.7727,0.214,0.0
55,270,49,1.1418,54.899099999999976,144.4991,0.1945,0.2841,0.0
56,317,69,3.9627,416.3967,142.3967,0.4895,0.2155,0.0
57,213,59,3.0163,98.65089999999998,127.2509,0.2374,0.266,0.0
58,218,37,1.1503,1521.2132,1020.5132,0.0909,0.0,0.4098
59,171,39,1.3284,1712.3342,1236.1342,0.056,0.0,0.4202
60,162,91,2.5858,303.60819999999995,131.0082,0.4084,0.2358,0.0
61,218,37,0.6826,1632.4432,1042.8432,0.0896,0.0,0.5
62,234,49,3.6228,82.62169999999998,168.1217,0.1848,0.2703,0.0
63,293,41,2.3447,1496.6698999999999,1124.8699,0.1267,0.0,0.2451
64,279,35,1.0778,76.05810000000002,244.3581,0.1095,0.2778,0.0
65,347,65,0.544,219.4905,84.7905,0.4396,0.3049,0.0
66,180,43,0.8659,1294.2852,861.7852,0.0853,0.0,0.3472
67,203,73,1.1596,301.2594,136.4594,0.3447,0.1799,0.0
68,295,57,0.8398,262.5195,251.9195,0.2915,0.2809,0.0
69,318,37,2.7651,1175.5422,806.3422,0.1192,0.0,0.25
70,166,73,1.215,153.59850000000006,192.9985,0.26,0.2994,0.0
71,275,69,3.3087,326.52290000000005,148.6229,0.4183,0.2404,0.0
72,204,57,1.6623,192.08110000000005,237.9811,0.2159,0.2618,0.0
73,161,51,2.2242,1199.6026,917.5026,0.1009,0.0,0.1812
74,317,43,3.9694,121.68750000000006,216.9875,0.1819,0.2772,0.0
75,245,37,0.6498,1534.0944,1023.5944,0.1007,0.0,0.4098
76,264,61,0.6534,153.3261,120.0261,0.3095,0.2762,0.0
77,246,61,1.3284,95.6302,85.7302,0.2731,0.2632,0.0
78,144,71,3.7896,146.50400000000002,114.604,0.2124,0.1805,0.0
79,121,53,2.0674,2051.5919,1581.6919,0.0911,0.0,0.3788
80,329,49,0.8978,82.39100000000008,140.491,0.2584,0.3165,0.0
81,331,71,3.9572,532.7746,198.6746,0.5173,0.1832,0.0
82,254,45,0.8041,1367.3288,864.0288,0.1561,0.0,0.3472
83,374,65,0.6451,260.78,75.88,0.4739,0.289,0.0
84,320,99,0.7109,920.4932000000001,172.9932,0.9668,0.2193,0.0
85,357,77,1.9807,563.0742999999999,117.3743,0.6603,0.2146,0.0
86,301,55,3.1658,344.3653999999999,313.4654,0.2969,0.266,0.0
87,269,55,3.2838,222.256,233.456,0.2439,0.2551,0.0
88,196,51,2.0578,1539.2324,1193.0324,0.127,0.0,0.2192
89,198,77,1.5455,158.9927,127.3927,0.3433,0.3117,0.0
90,178,33,1.3356,1227.3824,805.0824,0.0464,0.0,0.3759
91,321,45,0.789,1403.6956,860.9956,0.1906,0.0,0.3521
92,187,43,3.9694,263.47580000000005,416.7758,0.1058,0.2591,0.0
93,309,55,3.0163,253.22340000000003,226.5234,0.297,0.2703,0.0
94,263,41,0.8531,1215.2026,826.1026,0.1082,0.0,0.2809
95,214,49,1.2848,51.54879999999997,176.8488,0.1525,0.2778,0.0
96,365,35,3.7896,201.7061,344.5061,0.1218,0.2646,0.0
97,292,77,0.7449,400.6841999999999,136.4842,0.5233,0.2591,0.0
98,160,39,0.8978,1589.3798000000002,1144.3798,0.0544,0.0,0.3906
99,143,41,2.3416,1596.5963000000002,1162.2963,0.0497,0.0,0.3846
100,225,35,2.057,621.164,229.264,0.0889,0.0,0.303
101,156,33,2.5286,1500.0791000000002,1133.3791,0.0399,0.0,0.3268
102,299,45,1.0123,1270.0967,816.5967,0.1847,0.0,0.2688
103,196,49,2.6841,-50.08630000000002,113.7137,0.1203,0.2841,0.0
104,219,85,0.8398,247.5263,98.8263,0.4672,0.3185,0.0
105,192,57,2.3028,169.77910000000003,217.2791,0.1928,0.2403,0.0
106,252,59,1.8037,120.93630000000002,90.3363,0.2856,0.255,0.0
107,133,61,1.5455,-33.567200000000014,109.9328,0.1422,0.2857,0.0
108,134,85,2.988,3.9855999999999767,63.0856,0.2961,0.3552,0.0
109,277,81,2.9203,472.8002000000001,75.5002,0.5966,0.1993,0.0
110,301,77,1.2318,418.6099,105.2099,0.5711,0.2577,0.0
111,199,55,1.7349,94.55430000000001,204.0543,0.1698,0.2793,0.0
112,91,69,4.1363,518.7362,165.2362,0.0944,0.0,0.2591
113,313,35,4.243,586.4081,203.5081,0.0955,0.0,0.2874
114,100,35,2.8046,685.6601,243.8601,0.0251,0.0,0.4167
115,358,55,4.2067,361.5495,267.6495,0.3477,0.2538,0.0
116,204,93,2.7518,399.77750000000003,91.5775,0.5582,0.25,0.0
117,252,49,0.9115,19.926499999999976,161.8265,0.1914,0.3333,0.0
118,128,59,3.074,16.35790000000003,154.8579,0.1377,0.2762,0.0
119,206,61,3.0537,91.63460000000003,87.2346,0.2471,0.2427,0.0
120,100,43,1.0747,1376.4069,864.4069,0.0447,0.0,0.4673
121,228,53,0.789,1048.5025,596.2025,0.2131,0.0,0.2392
122,201,71,0.8398,224.73020000000002,198.7302,0.3346,0.3086,0.0
123,363,57,1.9289,326.97540000000004,230.5754,0.3773,0.2809,0.0
124,88,63,3.3837,521.3018999999999,75.8019,0.0955,0.0,0.35
125,265,59,0.5942,60.6395,146.2395,0.2794,0.365,0.0
126,294,85,0.6007,421.0566,74.6566,0.6289,0.2825,0.0
127,135,47,2.5941,1213.3099,825.8099,0.0899,0.0,0.2976
128,341,71,3.9694,550.5887,197.6887,0.5271,0.1742,0.0
129,167,43,3.0163,1545.5905000000002,1193.4905,0.0889,0.0,0.2632
130,280,59,1.1503,140.442,118.142,0.3147,0.2924,0.0
131,253,61,2.1004,182.80420000000007,115.7042,0.3134,0.2463,0.0
132,144,39,3.4121,1972.3367,1288.0367,0.0433,0.0,0.641
133,145,79,2.9354,184.35100000000003,95.551,0.2539,0.1651,0.0
134,329,49,3.7346,175.10029999999995,180.8003,0.2603,0.266,0.0
135,209,57,3.2759,284.47339999999997,309.7734,0.2298,0.2551,0.0
136,128,45,3.074,1246.9973,840.2973,0.0595,0.0,0.3472
137,245,41,4.0647,1362.8413,1095.7413,0.1174,0.0,0.1497
138,151,67,0.7109,30.21029999999996,126.9103,0.2259,0.3226,0.0
139,256,71,0.789,264.1613,153.1613,0.4069,0.2959,0.0
140,243,71,1.956,331.0228,156.1228,0.3782,0.2033,0.0
141,353,57,2.3028,364.697,216.997,0.3699,0.2222,0.0
142,180,59,1.5422,29.130800000000022,108.7308,0.1936,0.2732,0.0
143,133,45,0.9089,1143.0524,795.0524,0.0718,0.0,0.2762
144,161,85,3.2741,277.093,105.693,0.4318,0.2604,0.0
145,147,49,3.8109,526.5055,122.5055,0.0895,0.0,0.3145
146,281,33,2.7473,1249.099,880.799,0.1158,0.0,0.2525
147,241,49,3.0163,70.45460000000003,117.3546,0.2263,0.2732,0.0
148,122,83,4.4935,270.5819,135.1819,0.2912,0.1558,0.0
149,344,71,1.0339,570.9729000000001,115.6729,0.6398,0.1845,0.0
150,232,33,4.282,1262.1925999999999,938.0926,0.0664,0.0,0.2577
151,145,79,4.9671,310.6106,153.2106,0.3136,0.1562,0.0
152,178,39,3.0798,1701.9265,1251.4265,0.1033,0.0,0.3472
153,244,49,1.1493,77.2459,146.2459,0.2135,0.2825,0.0
154,225,39,0.864,1698.9134000000001,1215.7134,0.1015,0.0,0.3817
155,162,57,1.3948,123.13029999999998,278.2303,0.1782,0.3333,0.0
156,144,55,3.91,26.163200000000018,192.2632,0.1111,0.2772,0.0
157,256,105,0.789,1081.9223000000002,102.0223,1.239,0.2591,0.0
158,157,65,3.1963,133.26700000000002,75.067,0.2513,0.1931,0.0
159,95,57,2.3028,560.0526,157.6526,0.0819,0.0,0.3205
160,195,123,3.4734,1024.9514000000001,80.7514,1.1267,0.1825,0.0
161,214,45,4.1297,1335.3252,900.4252,0.1319,0.0,0.303
162,55,59,2.6359,571.1623,103.1623,0.0476,0.0,0.4204
163,129,63,2.7449,40.66639999999995,97.8664,0.1798,0.237,0.0
164,317,53,3.5811,452.7192,328.2192,0.34,0.2155,0.0
165,254,55,4.5446,215.96980000000002,175.1698,0.2908,0.25,0.0
166,122,55,3.6505,235.8586,362.7586,0.1135,0.2404,0.0
167,179,47,3.7101,753.0067,437.7067,0.1266,0.0,0.1887
168,144,49,2.1985,13.826999999999998,157.827,0.1098,0.2538,0.0
169,236,79,3.3534,484.6927999999999,121.3928,0.5657,0.2024,0.0
170,165,49,3.7101,514.6385,181.4385,0.0953,0.0097,0.2476
171,82,51,4.0365,2442.117,1984.317,0.048,0.0,0.4098
172,128,53,4.0278,244.8519,397.0519,0.111,0.2632,0.0
173,167,63,3.7436,114.48750000000004,159.5875,0.2037,0.2488,0.0
174,222,55,2.2286,110.80959999999999,187.9096,0.2007,0.2778,0.0
175,78,49,2.0575,612.2225000000001,111.6225,0.0452,0.0,0.4554
176,155,49,3.1764,0.7660999999999945,164.1661,0.1191,0.2825,0.0
177,181,69,2.0149,79.43029999999999,112.2303,0.2695,0.3023,0.0
178,199,59,3.9122,31.742399999999975,109.3424,0.1884,0.266,0.0
179,313,49,1.5455,116.2824,149.3824,0.2372,0.2703,0.0
180,162,85,3.662,195.72920000000002,64.1292,0.3538,0.2222,0.0
181,193,51,2.58,1638.3455,1242.5455,0.1381,0.0,0.2577
182,210,45,2.6465,1310.5423,933.2423,0.1041,0.0,0.2732
183,136,59,3.0163,32.5437,125.3437,0.1355,0.2283,0.0
184,122,55,3.1301,493.0281,144.7281,0.0983,0.0,0.25
185,179,61,1.0471,75.14540000000005,141.8454,0.2095,0.2762,0.0
186,144,55,1.6222,531.9341999999999,171.3342,0.1148,0.0125,0.2583
187,145,33,3.9341,1294.2806999999998,973.5807,0.0333,0.0,0.2874
188,329,55,1.9958,320.9538999999999,269.0539,0.3297,0.2778,0.0
189,205,33,0.9115,1243.5619,809.9619,0.0519,0.0,0.3817
190,285,39,4.2612,1517.4766,1202.1766,0.1095,0.0,0.2058
191,166,65,3.6419,73.9848,77.7848,0.202,0.2058,0.0
192,316,55,4.2591,337.2434999999999,282.4435,0.3208,0.266,0.0
193,256,43,0.789,993.9254000000001,538.2254,0.1352,0.0,0.3205
194,196,67,3.1764,209.5524,132.4524,0.2672,0.1901,0.0
195,181,47,3.6773,856.4126000000001,432.7126,0.1069,0.0,0.3168
196,180,49,2.0486,-15.865699999999947,107.6343,0.1574,0.2809,0.0
197,198,61,1.5455,32.041300000000035,107.0413,0.2043,0.2793,0.0
198,115,57,3.1756,500.4351,189.7351,0.1017,0.0,0.209
199,196,49,2.6841,1.9612000000000194,163.9612,0.1112,0.2732,0.0
200,196,49,2.6841,-12.71229999999997,139.3877,0.1226,0.2747,0.0
201,196,49,2.6841,-48.20300000000003,124.197,0.1069,0.2793,0.0
202,196,49,2.6841,-24.575000000000017,125.725,0.1185,0.2688,0.0
207,264,75,3.456,407.32,116.62,0.4699,0.1792,0.0
208,264,75,3.456,348.5974,130.3974,0.4497,0.2315,0.0
209,264,75,3.456,412.5555999999999,129.9556,0.4403,0.1577,0.0
210,264,75,3.456,388.9735,104.5735,0.4592,0.1748,0.0
211,207,53,2.8136,778.3894,411.8894,0.1672,0.0,0.1993
212,207,53,2.8136,1039.95,761.65,0.1773,0.0,0.101
213,207,53,2.8136,834.7614,408.2614,0.1805,0.0,0.246
214,207,53,2.8136,1440.7446,1107.5446,0.1724,0.0,0.1608
215,202,51,2.7583,981.419,664.719,0.1643,0.0,0.1524
216,202,51,2.7583,971.4540999999999,697.5541,0.1534,0.0,0.1205
217,202,51,2.7583,1026.1041,721.5041,0.1531,0.0,0.1515
218,202,51,2.7583,2310.0355,1873.0355,0.1496,0.0,0.2874
219,198,49,2.7174,237.41739999999996,99.0174,0.1064,0.1337,0.1657
220,198,49,2.7174,-20.432500000000005,133.0675,0.1212,0.2747,0.0
221,198,49,2.7174,334.3359,113.5359,0.1115,0.105,0.2143
222,198,49,2.7174,3.9943000000000097,159.5943,0.1222,0.2778,0.0
223,196,49,2.6862,-44.77899999999997,129.621,0.113,0.2874,0.0
224,196,49,2.6862,428.5889,99.6889,0.1104,0.0042,0.2227
225,196,49,2.6862,257.88200000000006,86.782,0.1034,0.1391,0.2068
226,196,49,2.6862,446.8848,100.0848,0.1015,0.0,0.2453
227,196,49,2.6853,513.7044,118.4044,0.1103,0.0,0.285
228,196,49,2.6853,473.7581,110.0581,0.1089,0.0,0.2548
229,196,49,2.6853,-26.450099999999964,143.4499,0.1018,0.2717,0.0
230,196,49,2.6853,398.9801,97.4801,0.1007,0.0,0.2008
231,196,49,2.6841,335.71479999999997,106.5148,0.1121,0.1126,0.2297
232,196,49,2.6841,486.5412,97.1412,0.1092,0.0,0.2802
233,196,49,2.6841,308.6812,89.8812,0.1085,0.1287,0.239
234,196,49,2.6841,-10.053699999999992,143.9463,0.1207,0.2747,0.0
235,196,49,2.6841,-14.376599999999996,158.9234,0.1092,0.2825,0.0
236,196,49,2.6841,297.60040000000004,108.0004,0.103,0.1167,0.2033
237,196,49,2.6841,314.8937,95.3937,0.1044,0.1331,0.2482
238,196,49,2.6841,225.2437,91.6437,0.1145,0.187,0.2061
239,196,49,2.6841,187.67229999999998,93.9723,0.1127,0.1841,0.1651
240,196,49,2.6841,-60.4187,97.0813,0.1172,0.2747,0.0
241,196,49,2.6841,-39.198699999999974,138.7013,0.1128,0.2907,0.0
242,196,49,2.6841,183.27519999999998,75.2752,0.1143,0.1719,0.1656
243,196,49,2.6841,358.70090000000005,101.2009,0.1134,0.0811,0.2252
244,196,49,2.6841,361.39790000000005,114.3979,0.1124,0.0846,0.2192
245,196,49,2.6841,278.8079,87.0079,0.1036,0.0993,0.1875
246,196,49,2.6841,449.8535,102.4535,0.1154,0.016,0.248
247,196,49,2.6841,-26.098799999999983,150.8012,0.1056,0.2825,0.0
248,196,49,2.6841,-45.107999999999976,137.792,0.1045,0.2874,0.0
249,196,49,2.6841,281.37549999999993,146.8755,0.1124,0.1728,0.1949
250,196,49,2.6841,493.49550000000005,125.9955,0.1101,0.0,0.2574
251,196,49,2.6841,-28.653400000000033,140.2466,0.1201,0.289,0.0
252,196,49,2.6841,431.8594,130.3594,0.1104,0.0356,0.2267
253,196,49,2.6841,238.42770000000002,110.5277,0.1082,0.1772,0.1969
254,196,49,2.6841,504.2211,150.3211,0.099,0.0,0.2549
255,196,49,2.6841,427.91330000000005,109.5133,0.1115,0.0086,0.2155
256,196,49,2.6841,44.614599999999996,198.9146,0.1235,0.2778,0.0
257,196,49,2.6841,-48.299199999999985,145.8008,0.1165,0.3106,0.0
258,196,49,2.6841,269.95619999999997,106.7562,0.1048,0.1423,0.2007
259,196,49,2.6841,-44.2714,107.3286,0.1231,0.2747,0.0
260,196,49,2.6841,-50.45319999999998,142.7468,0.1027,0.2959,0.0
261,196,49,2.6841,-10.468500000000006,139.4315,0.1147,0.2646,0.0
262,196,49,2.6841,-56.382799999999975,105.9172,0.1139,0.2762,0.0
263,196,49,2.6841,-17.651700000000005,130.0483,0.1316,0.2793,0.0
264,196,49,2.6841,311.2491,81.2491,0.1156,0.0621,0.1765
265,196,49,2.6841,-28.090799999999945,142.3092,0.117,0.2874,0.0
266,196,49,2.6841,2.564700000000016,180.2647,0.1048,0.2825,0.0
267,196,49,2.6841,-47.533500000000004,111.4665,0.1172,0.2762,0.0
268,196,49,2.6841,5.021400000000028,150.4214,0.1355,0.2809,0.0
269,196,49,2.6841,256.6407,71.1407,0.1224,0.0974,0.1605
270,196,49,2.6841,-23.411400000000015,152.8886,0.1062,0.2825,0.0
271,196,49,2.6841,243.7266,123.1266,0.1133,0.1825,0.1898
272,196,49,2.6841,-42.82650000000001,134.8735,0.1034,0.2811,0.0
273,196,49,2.6841,338.6635,91.2635,0.1154,0.088,0.22
