folder,image,pixels_covered,center_inside_top_k
164794,m_3809019_se_15_1_20100828.jpg,99072,0
121883,m_3709702_sw_14_1_20100618.jpg,95232,1
34857,m_3609148_nw_15_1_20100620.jpg,100864,0
148700,m_3808641_ne_16_060_20220615.jpg,102144,0
60618,m_3608115_sw_17_1_20110604.jpg,102144,0
76387,m_3709362_ne_15_h_20160622.jpg,98304,1
180558,n_3807602_sw_18_1_20050621.jpg,98816,0
100606,m_3709625_se_14_060_20190712.jpg,101120,1
119155,m_3708911_nw_16_060_20220615.jpg,94976,1
120282,m_3708610_nw_16_060_20180919.jpg,100864,1
109298,n_3708223_sw_17_1_20080822.jpg,101376,0
113158,m_3708722_nw_16_1_20120620.jpg,88576,1
18128,m_3607760_sw_18_1_20100617.jpg,95744,1
167697,n_3809422_ne_15_2_20060613.jpg,99840,0
86453,m_3709545_se_15_1_20170804.jpg,97024,0
52556,n_3607919_sw_17_1_20090610.jpg,98304,1
83256,m_3709954_nw_14_1_20150624.jpg,101888,1
112776,n_3709723_ne_14_1_20060619.jpg,92416,1
80936,m_3708051_sw_17_1_20110531.jpg,100608,1
162276,m_3807731_ne_18_060_20210617.jpg,100096,0
176244,n_3808314_nw_17_1_20090813.jpg,101376,1
72381,n_3709157_se_15_1_20070809.jpg,99328,1
130787,m_3807758_se_18_1_20110531.jpg,97536,1
60225,n_3609114_se_15_1_20070708.jpg,101888,0
183351,n_3808306_ne_17_2_20060727.jpg,101376,1
145814,m_3808242_sw_17_060_20200601.jpg,92416,0
137865,m_3807853_sw_17_060_20181018.jpg,101120,1
48161,n_3608830_ne_16_2_20060727.jpg,95232,1
101677,m_3709529_sw_15_1_20140721.jpg,89088,1
133036,n_3809863_ne_14_2_20050624.jpg,88576,1
148063,n_3807747_nw_18_1_20090629.jpg,97024,0
64611,m_3608209_ne_17_1_20120706.jpg,102400,0
155031,n_3808035_nw_17_1_20070825.jpg,97024,0
153131,n_3807737_se_18_1_20090610.jpg,101376,0
58114,n_3609314_sw_15_1_20070724.jpg,99072,0
67234,m_3609303_sw_15_1_20090617.jpg,101376,1
153461,m_3809433_nw_15_1_20150624.jpg,92160,1
69496,m_3608702_ne_16_1_20120619.jpg,100096,0
98746,n_3709236_ne_15_2_20050615.jpg,100608,1
102378,m_3707729_sw_18_1_20120511.jpg,100864,0
42120,m_3608740_ne_16_1_20100621.jpg,100096,1
102344,m_3707830_sw_17_1_20160620.jpg,93952,1
20895,m_3608459_nw_16_1_20141017.jpg,98816,1
147890,m_3808143_ne_17_060_20180709.jpg,101120,0
13676,m_3508703_ne_16_1_20080619.jpg,93952,1
55144,m_3609121_ne_15_h_20160611.jpg,99584,0
56374,n_3608517_ne_16_1_20080717.jpg,89600,1
173045,m_3808714_se_16_1_20100630.jpg,100864,1
173278,m_3808114_sw_17_1_20160827.jpg,98048,0
146565,n_3808944_nw_16_2_20050709.jpg,91904,0
42428,m_3607939_ne_17_1_20140619.jpg,92672,0
45231,m_3608530_sw_16_1_20141017.jpg,100096,0
115813,m_3709714_sw_14_1_20120624.jpg,99840,0
105379,n_3707828_nw_17_2_20050710.jpg,99328,0
154666,m_3809040_nw_15_1_20170621.jpg,101888,1
31019,n_3608545_se_16_1_20070607.jpg,95488,1
150235,m_3809936_sw_14_1_20150831.jpg,100864,1
57570,m_3608122_ne_17_1_20120627.jpg,101120,0
95436,n_3709938_sw_14_1_20060627.jpg,96000,1
109713,m_3709720_sw_14_1_20140630.jpg,99072,0
168322,n_3807822_ne_17_1_20090725.jpg,101376,0
112428,n_3708024_ne_17_1_20090921.jpg,99072,1
143938,m_3807841_se_17_060_20181018.jpg,98048,1
174314,n_3808010_se_17_1_20090627.jpg,102144,0
177143,n_3808614_nw_16_2_20050729.jpg,99584,0
154527,m_3809335_ne_15_h_20160821.jpg,90880,0
10516,m_3509004_sw_15_1_20170730.jpg,91392,0
148257,m_3809846_ne_14_1_20140711.jpg,92672,0
166311,m_3807718_se_18_1_20080620.jpg,96768,0
87622,m_3709145_sw_15_1_20140722.jpg,101376,0
22226,m_3607659_ne_18_060_20181012_20190210.jpg,101120,0
56243,m_3608922_ne_16_1_20140728.jpg,91904,1
141880,m_3807952_nw_17_060_20181024.jpg,99328,1
113381,n_3708119_ne_17_1_20070825.jpg,98304,1
59365,m_3608714_se_16_1_20120620.jpg,96256,0
97755,n_3709133_ne_15_1_20070809.jpg,102144,0
191648,m_3907858_ne_17_1_20141027.jpg,101376,0
99004,m_3708533_ne_16_1_20100702.jpg,97536,0
90895,m_3708543_ne_16_060_20200531.jpg,99584,1
161947,m_3808528_nw_16_1_20140627.jpg,100352,1
49614,m_3607732_nw_18_1_20120511.jpg,97024,1
79719,m_3708549_se_16_060_20180930.jpg,95232,0
119031,m_3709209_ne_15_1_20120624.jpg,98048,1
06690,n_3508412_nw_16_1_20070613.jpg,98816,1
163240,m_3807829_nw_17_1_20110604.jpg,92672,1
154364,n_3809734_nw_14_2_20050624.jpg,89856,1
141808,m_3808153_nw_17_060_20200715.jpg,99840,0
167197,m_3808124_sw_17_060_20181023.jpg,100096,0
133154,m_3809563_ne_15_060_20190719.jpg,97024,0
147714,n_3808647_ne_16_2_20070706.jpg,101120,0
168409,m_3807624_ne_18_060_20181104.jpg,95744,1
42365,m_3608034_ne_17_060_20200603.jpg,99072,1
03696,n_3508314_se_17_1_20070919.jpg,99840,1
94295,m_3707636_se_18_1_20160723.jpg,97280,0
